名無し＠18歳未満の入場禁止 無断転載禁止<>age<>2023/01/19(木) 21:21:31.49 ID:1g0zU8kx0<> ぺっさん受けよう <>さくらみこ検定 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/01/19(木) 21:21:48.13 ID:squTOSwW0<> ぐーたらは別の人だろ <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/01/19(木) 21:21:48.99 ID:fqQRKHTc0<> んにぇ <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/01/19(木) 21:23:55.09 ID:+2AJsqsM0<> 現在の勢い <br> &#160; <br> ホロライブ <br> &#160; <br> ホロアン女神　90000 <br> ホロアン杉浦　30000 <br> なんJ　　　　 45000 <br> スト実　　　　10000 <br> &#160; <br> ホロ総戦力　17万5000 <br> &#160; <br> にじさんじ <br> したらば　30000 <br> 火星 300 <br> &#160; <br> にじ総戦力 30300 <br> &#160; <br> したらば過疎すぎワロタｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ <br> 早朝だけ他のスレに勢い勝ってるニートの巣窟w <br> 新人がきても過疎、新人の同接もカス <br> 同接もホロにボロ負けのにじさんじとかいうでっけえゴミ箱ワロス&#128169; <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/01/19(木) 21:36:42.29 ID:rpMLJ2px0<> にじさんじの新人ここまで全員当たり？ <>
