名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/06/09(金) 11:36:06.31 ID:c+N3sz950<> 始めるのら <>ルーナ会議 	
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/06/09(金) 11:37:06.69 ID:cKMeoqJb0<> なあい <>
名無し＠18歳未満の入場禁止 無断転載禁止<>sage<>2023/06/09(金) 11:37:18.87 ID:cKMeoqJb0<> みんなおりゅー <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/06/09(金) 11:42:44.89 ID:N++J6rOQ0<> &#24120;闇トワ&#128126; <br> @tokoya/mitowa <br> &#9732; &#128126; &#9875;　Startend　&#9875; &#128126; &#9732; <br>  <br> 　　　　------- <br> &#128338;　2023.6.10　14:00~(JST) <br> 　　　　------- <br>  <br> Startend耐久企画！ <br> 全レジェンドでCHAMPION取れるまで <br> 終われません…！？ <br>  <br> #STAWIN <br>  <br> https://i.imgur.com/Ry6lBWR.jpg <br>  <br> https://twitter.com/towa/status/1666746895388246016 <br>  <br>  <br> &#24120;闇トワ&#128126; <br> @tokoya/mitowa <br> ルール&#129653;&#129653; <br>  <br> https://i.imgur.com/jOKq8Se.jpg <br> https://i.imgur.com/uTzhjoA.jpg <br>  <br> https://twitter.com/towa/status/1666747597040779266 <>
名無し＠18歳未満の入場禁止 無断転載禁止<><>2023/06/09(金) 11:43:00.18 ID:N++J6rOQ0<> 【スタテン復活】湊あくあ、星街すいせい、&#24120;闇トワらStartendが『Apex』全レジェンドチャンピオン耐久を実施。6月10日14時より配信スタート <br> https://news.yahoo.co.jp/articles/31b1addfff0c6dda03dc494178b5bb4c9eb3f646 <br>  <br> 　女性VTuberグループ“ホロライブ”において、湊あくあ、星街すいせい、&#24120;闇トワの『Apex』チーム“Startend（スターテンド）”が、全レジェンドチャンピオン耐久配信を6月10日14時より実施する。 <br>  <br>  <br>  <br>  <br>  <br> ※情報追記中 <br>  <br>  <br> 　“Startend”は、VTuber最協決定戦 第4回に出場した湊あくあ、星街すいせい、&#24120;闇トワのチーム。 <>
