名無しさん＠ピンキー<>sage<>2023/10/05(木) 00:12:12.53 ID:g4BpY2m1<> ガチでヤバい <>【会議】にじさんじ仲良し掲示板民集合【鯖落ち】 	
名無しさん＠ピンキー<>sage<>2023/10/05(木) 00:12:41.38 ID:g4BpY2m1<> とりあえずここは軽く書けるからここで会議しよう <>
名無しさん＠ピンキー<><>2023/10/05(木) 00:15:46.99 ID:6+/85OtS<> にじさんじ実況スレもなんOに来ないか？ <br>  <br> なんでも実況(Offshore) <br> http://bbs.3chan.cc/offshore/ <br>  <br> 【速報】なんG民「ふぇぇ、なんOに来たけど何故か書き込めないよぉ…」ワイ「チィッ！」 <br> http://bbs.3chan.cc/test/read.cgi/offshore/1696324123/ <>
名無しさん＠ピンキー<><>2023/10/05(木) 00:22:37.22 ID:17WRS0nJ<> ゴミどもが俺らの中古板使ってて草 <>
名無しさん＠ピンキー<>sage<>2023/10/05(木) 00:23:59.90 ID:g7RWIoW2<> そっち行っても何故かスト鯖ARKの実況しかして無くてなんか違う奴らじゃね？ってなる <>
